0374 0000 0000 0116
0494 0000 0000 0000
088c 0000 0000 0000
08c2 0a34 0000 0000
0524 02e5 0000 0000
0104 0000 0000 0000
06d1 0000 0000 096c
0e21 0000 0000 0879
0776 0000 0000 03bd
07a7 0000 0000 0125
0105 0000 0000 009f
0000 0000 0000 0000
005c 0000 0000 0000
0282 0000 0000 0229
07ea 0000 0000 0527
0897 0000 0000 02cc
06b5 0000 0000 0100
059c 0000 0000 003f
0330 0000 0000 0000
0c0a 30e7 0000 0000
1260 0f63 0ac9 0000
0267 0080 0000 0000
0385 0000 0000 0000
043e 02be 0000 0000
052d 0000 00ed 0000
0000 0000 05d5 0000
0000 0000 0000 0000
0000 0000 0000 0000
01c1 0000 0000 0045
035e 0000 0000 0132
03b8 0000 0000 0037
05b6 0000 0000 0000
07ac 0000 0000 0000
03d6 0288 00a3 0000
0000 05ee 05f1 0000
0000 0000 0750 0000
0000 0000 0418 012b
00fa 0000 0000 079d
0447 0000 0000 029b
00fc 0000 0000 01b2
0000 0000 0000 022d
0000 0000 0000 0000
0000 0000 0000 0000
0000 0000 0000 0000
0292 0000 0000 0275
09ca 0000 0000 0250
07c1 0000 0000 00ad
047c 0000 0000 0025
0545 0000 0000 0000
1384 2d93 0000 0000
1bbe 0880 088f 0000
002c 0000 0000 0000
0432 0014 0000 0000
0397 00d2 0000 0000
02dd 0000 0000 0000
00cd 0000 01f3 0000
0118 0000 0000 0000
00eb 0000 0000 0000
0000 0000 016b 0000
0000 0000 0000 007f
0519 0000 0000 0000
0cea 0000 0000 0000
0d86 0000 0000 0000
06e4 0000 0000 0000
0000 0000 04b7 0000
0000 0000 11aa 0000
0000 0000 12e6 0000
0000 0000 0916 029c
0000 0000 0289 02e3
0000 0000 00f6 0252
0000 0000 0000 024b
0000 0000 0000 0159
0036 0000 0000 0000
058b 0000 0000 0000
04e0 0000 0000 0000
0777 0000 0000 026d
00fa 0000 0000 0000
0000 0000 0000 0046
0cbc 0660 0000 0000
21f9 2248 0000 0000
2a82 0000 0000 0000
029c 0000 0000 0000
048b 0030 0000 0000
0463 0000 0000 0000
03d3 0000 0000 0000
02cf 0000 00e8 0000
0000 0000 0086 0000
0000 0000 0000 0000
0000 0000 0545 0000
0000 0000 0000 0000
0000 0000 0000 0000
092a 0294 0000 0000
1676 0000 0000 0000
2119 0000 0000 0000
1e57 0000 0000 0000
1a79 0000 0000 0159
1561 0000 0000 039d
0eb8 0000 0000 03c6
108c 0000 0000 05f7
1653 0000 0000 03da
1848 0000 0000 0401
1b1d 0000 0000 029d
1e4e 0000 0000 0000
1dc1 0000 0000 0000
0635 0000 0592 0000
0000 0000 0000 0387
0000 0000 0011 009c
0000 0000 0000 0059
1141 212a 0000 0000
1d77 1baa 0000 0000
18a9 0000 0000 0000
0123 0000 0000 0000
038f 0000 0000 0000
0476 002f 0000 0000
054d 0000 0000 0000
05ce 0000 0000 0000
0240 0000 0104 0000
0319 0000 0000 0000
0146 0000 0128 0000
0000 0000 00ff 00d0
0000 0000 0000 0000
0000 147f 0000 0000
05d6 056a 0000 0000
049a 0000 0367 0000
0000 0000 0000 0000
0000 0000 0a23 0000
0000 00a8 0285 0000
0000 0000 06d6 0000
0000 0000 0000 0000
0000 0000 01c7 0000
0000 0000 0000 0000
0590 0cd2 0000 0000
06cd 0000 0334 0000
0000 0550 0000 0000
0000 0000 0d83 0000
0000 0000 0028 040d
0000 0000 0000 00cd
0402 0000 0000 0000
14aa 2dca 0000 0000
1d8d 132a 0347 0000
03e5 0000 0000 0000
0538 0000 0000 0000
04a3 002c 0000 0000
0467 00a0 0000 0000
03ae 0000 0000 0000
009a 0000 0000 0000
0000 0000 0155 0000
01ea 0000 0000 0000
0739 0000 0000 0000
00a4 0000 0000 0464
0296 0000 0000 0000
0166 144c 0000 0000
0171 13b4 06c3 0000
0000 0000 1854 0000
0000 0000 0fd1 0501
0000 0000 1501 0067
0000 0000 1541 0000
0000 0000 169b 0000
0000 0000 0fb9 002f
0000 0000 0bb5 0000
0000 0000 0713 0000
0000 03c1 0928 0000
0000 0000 180d 0000
0000 0000 05b2 0000
0000 0000 0981 0000
0000 0000 0000 0273
0198 0000 0000 0000
0fbc 05f5 0000 0000
2272 2213 0000 0000
281c 0536 0000 0000
03ee 00bc 0000 0000
02ff 0000 0000 0000
03c2 015a 0000 0000
03de 0062 0000 0000
02d9 0000 0000 0000
0332 0000 0000 0000
062d 0000 0000 0000
067e 0000 0000 0000
0c62 0000 0000 0000
05eb 0000 0000 03fa
0724 0000 0000 0272
0aa2 050d 0000 0000
023c 1222 0000 0000
0000 0000 07bf 0000
0000 0000 0000 06b5
1927 0000 0000 0938
1907 0000 0000 06a1
1564 0000 0000 06da
0d76 0000 0000 0583
130f 0000 0000 023e
0bf1 0000 0000 0000
03a2 0000 0383 0000
0000 0000 03d3 0220
0000 0000 0000 0000
0000 0000 02d6 0000
0000 0000 0000 0025
0c5b 0000 0000 0000
284f 1300 0000 0000
3141 0a7b 0000 0000
1901 040c 0000 0000
0315 01c1 0000 0000
03eb 0000 0000 0000
0268 016d 0000 0000
02ba 013b 0000 0000
03eb 0000 0000 0000
0593 0000 0000 0000
07e7 0000 0000 0000
0812 0000 0000 0000
0896 0000 0000 0000
0d90 0000 0000 01f9
07e4 0000 0000 020f
0b5f 0000 0000 0000
052c 07b9 0000 0000
0000 0000 061d 0000
0000 0000 0000 0000
074c 0000 0000 00f4
146c 0000 0000 02fd
146c 0000 0000 038e
15da 0000 0000 023e
1082 0000 0000 0000
07eb 0000 0000 0023
0000 0000 02a6 0237
0000 0000 0000 02a9
0000 0000 0000 0000
0042 0000 0000 0000
01e0 0000 0000 0000
1743 15e2 0000 0000
22a5 196a 0000 0000
2080 07ab 0000 0000
02fa 0082 0000 0000
0342 012d 0000 0000
04b3 0000 0000 0000
02bd 0147 0000 0000
0309 0176 0000 0000
