--- INICIO DO CALCULO DO NEURONIO ---
Tempo (ps) | Endereco | Dado (hex) | Peso (hex) | Acumulador
  16060000 |      366 |         e8 |         e6 |  -1323
  16090000 |      367 |         20 |         d4 |   -699
  16120000 |      368 |         ee |         f3 |  -2107
  16150000 |      369 |         6f |         ca |  -1873
  16180000 |      370 |         8f |         15 |  -7867
  16210000 |      371 |         9e |         de | -10240
  16240000 |      372 |         8f |         d0 |  -6908
  16270000 |      373 |         8f |         b3 |  -1484
  16300000 |      374 |         09 |         f5 |   7217
  16330000 |      375 |         35 |         e6 |   7118
  16360000 |      376 |         35 |         dd |   5740
  16390000 |      377 |         09 |         9c |   3885
  16420000 |      378 |         4b |         da |   2985
  16450000 |      379 |         f9 |         0d |    135
  16480000 |      380 |         f9 |         eb |     44
  16510000 |      381 |         4b |         c7 |    191
  16540000 |      382 |         f9 |         14 |  -4084
  16570000 |      383 |         f9 |         0b |  -4224
  16600000 |      384 |         e6 |         0e |  -4301
  16630000 |      385 |         e6 |         1f |  -4665
  16660000 |      386 |         3a |         36 |  -5471
  16690000 |      387 |         7b |         05 |  -2339
  16720000 |      388 |         21 |         25 |  -1724
  16750000 |      389 |         81 |         f2 |   -503
  16780000 |      390 |         fd |         10 |   1275
  16810000 |      391 |         87 |         11 |   1227
  16840000 |      392 |         81 |         fe |   -830
  16870000 |      393 |         fd |         00 |   -576
  16900000 |      394 |         fa |         08 |   -576
  16930000 |      395 |         fa |         f6 |   -624
  16960000 |      396 |         7e |         02 |   -564
  16990000 |      397 |         c5 |         fb |   -312
  17020000 |      398 |         55 |         0f |    -17
  17050000 |      399 |         7e |         f4 |   1258
  17080000 |      400 |         2b |         8e |   -254
  17110000 |      401 |         4c |         1d |  -5156
  17140000 |      402 |         5e |         05 |  -2952
  17170000 |      403 |         2b |         0c |  -2482
  17200000 |      404 |         4c |         c7 |  -1966
  17230000 |      405 |         09 |         05 |  -6298
  17260000 |      406 |         e7 |         02 |  -6253
  17290000 |      407 |         e7 |         04 |  -6303
  17320000 |      408 |         e1 |         e4 |  -6403
  17350000 |      409 |         e7 |         08 |  -5535
  17380000 |      410 |         e7 |         11 |  -5735
  17410000 |      411 |         73 |         12 |  -6160
  17440000 |      412 |         e0 |         19 |  -4090
  17470000 |      413 |         b8 |         cf |  -4890
  17500000 |      414 |         46 |         09 |  -1362
  17530000 |      415 |         36 |         ff |   -732
  17560000 |      416 |         36 |         3b |   -786
  17590000 |      417 |         2b |         ec |   2400
  17620000 |      418 |         a9 |         ff |   1540
  17650000 |      419 |         a9 |         f9 |   1627
  17680000 |      420 |         2b |         20 |   2236
  17710000 |      421 |         68 |         dc |   3612
  17740000 |      422 |         a4 |         0c |   -132
  17770000 |      423 |         9c |         f4 |  -1236
  17800000 |      424 |         9c |         28 |    -36
  17830000 |      425 |         4b |         1e |  -4036
  17860000 |      426 |         9c |         f0 |  -1786
  17890000 |      427 |         d3 |         e1 |   -186
  17920000 |      428 |         d3 |         6c |   1209
  17950000 |      429 |         b6 |         db |  -3651
  17980000 |      430 |         e0 |         f5 |   -913
  18010000 |      431 |         aa |         e5 |   -561
  18040000 |      432 |         3c |         15 |   1761
  18070000 |      433 |         7d |         d0 |   3021
  18100000 |      434 |         fc |         05 |  -2979
  18130000 |      435 |         3c |         f6 |  -2999
  18160000 |      436 |         2f |         e4 |  -3599
  18190000 |      437 |         2f |         39 |  -4915
  18220000 |      438 |         a6 |         0b |  -2236
  18250000 |      439 |         6a |         ff |  -3226
  18280000 |      440 |         6a |         13 |  -3332
  18310000 |      441 |         01 |         ea |  -1318
  18340000 |      442 |         d7 |         f1 |  -1340
  18370000 |      443 |         d7 |         0c |   -725
  18400000 |      444 |         01 |         f5 |  -1217
  18430000 |      445 |         d7 |         fc |  -1228
  18460000 |      446 |         d7 |         0f |  -1064
  18490000 |      447 |         b9 |         11 |  -1679
  18520000 |      448 |         3a |         b4 |  -2886
  18550000 |      449 |         7d |         02 |  -7294
  18580000 |      450 |         43 |         09 |  -7044
  18610000 |      451 |         43 |         0d |  -6441
  18640000 |      452 |         dd |         b7 |  -5570
  18670000 |      453 |         65 |         e1 |  -3015
